month,mkt_excess,Rfree
1999-11,0.017222,0.0036
1999-12,0.058178999999999995,0.0044
2000-01,-0.05373,0.0040999999999999995
2000-02,-0.021758,0.0043
2000-03,0.09378800000000001,0.004699999999999999
2000-04,-0.036183,0.0046
2000-05,-0.027304000000000002,0.005
2000-06,0.022219,0.004
2000-07,-0.017595,0.0048
2000-08,0.057594,0.005
2000-09,-0.057188,0.0051
2000-10,-0.009720000000000001,0.005600000000000001
2000-11,-0.083368,0.0051
2000-12,0.0007200000000000002,0.005
2001-01,0.026971999999999996,0.0054
2001-02,-0.094752,0.0038
2001-03,-0.067906,0.0042
2001-04,0.073924,0.0039000000000000003
2001-05,0.0036589999999999995,0.0032
2001-06,-0.027305,0.0028000000000000004
2001-07,-0.012317000000000002,0.003
2001-08,-0.06653500000000001,0.0031
2001-09,-0.083161,0.0028000000000000004
2001-10,0.017339999999999998,0.0022
2001-11,0.07708699999999999,0.0017000000000000001
2001-12,0.007551,0.0015
2002-01,-0.015724000000000002,0.0014000000000000002
2002-02,-0.020780999999999997,0.0013
2002-03,0.036272,0.0013
2002-04,-0.062501,0.0015
2002-05,-0.0092,0.0014000000000000002
2002-06,-0.07264899999999999,0.0013
2002-07,-0.075487,0.0015
2002-08,0.005660999999999999,0.0014000000000000002
2002-09,-0.110365,0.0014000000000000002
2002-10,0.087199,0.0014000000000000002
2002-11,0.057819,0.0012
2002-12,-0.059933999999999994,0.0011
2003-01,-0.027579,0.001
2003-02,-0.016146,0.0009
2003-03,0.009308,0.001
2003-04,0.081774,0.001
2003-05,0.052351,0.0009
2003-06,0.011816,0.001
2003-07,0.017232,0.0007000000000000001
2003-08,0.018897,0.0007000000000000001
2003-09,-0.011537,0.0008
2003-10,0.05486,0.0007000000000000001
2003-11,0.008559,0.0007000000000000001
2003-12,0.05098,0.0008
2004-01,0.018378000000000002,0.0007000000000000001
2004-02,0.013803,0.0006
2004-03,-0.015882,0.0009
2004-04,-0.016384,0.0008
2004-05,0.013029,0.0006
2004-06,0.018688,0.0008
2004-07,-0.033954,0.001
2004-08,0.002707,0.0011
2004-09,0.009717,0.0011
2004-10,0.013873,0.0011
2004-11,0.039058999999999996,0.0015
2004-12,0.032134,0.0016
2005-01,-0.025424000000000002,0.0016
2005-02,0.019552,0.0016
2005-03,-0.01934,0.0021
2005-04,-0.021026,0.0021
2005-05,0.029594000000000002,0.0024
2005-06,-0.000583,0.0023
2005-07,0.034964,0.0024
2005-08,-0.012159,0.003
2005-09,0.005167,0.0029
2005-10,-0.018372,0.0027
2005-11,0.035189,0.0031
2005-12,-0.0032600000000000003,0.0032
2006-01,0.022942,0.0034999999999999996
2006-02,-0.0009750000000000002,0.0034000000000000002
2006-03,0.009209,0.0037
2006-04,0.008464,0.0036
2006-05,-0.032619,0.0043
2006-06,-0.002413,0.004
2006-07,0.0015710000000000003,0.004
2006-08,0.019950000000000002,0.0042
2006-09,0.022387,0.0040999999999999995
2006-10,0.028427,0.0040999999999999995
2006-11,0.014185,0.0042
2006-12,0.009768,0.004
2007-01,0.010912999999999999,0.0044
2007-02,-0.023088,0.0038
2007-03,0.006593999999999999,0.0043
2007-04,0.039591,0.0044
2007-05,0.030358999999999997,0.0040999999999999995
2007-06,-0.02062,0.004
2007-07,-0.035197,0.004
2007-08,0.010894000000000001,0.0042
2007-09,0.034268,0.0032
2007-10,0.01416,0.0032
2007-11,-0.044782,0.0034000000000000002
2007-12,-0.008816000000000001,0.0027
2008-01,-0.063266,0.0021
2008-02,-0.032719000000000005,0.0013
2008-03,-0.0051,0.0017000000000000001
2008-04,0.046828999999999996,0.0018
2008-05,0.011186,0.0018
2008-06,-0.084542,0.0017000000000000001
2008-07,-0.008806,0.0015
2008-08,0.013655,0.0013
2008-09,-0.086967,0.0015
2008-10,-0.16777999999999998,0.0008
2008-11,-0.07381199999999999,0.0003
2008-12,0.011995,0.0
2009-01,-0.082615,0.0
2009-02,-0.103688,0.0001
2009-03,0.087434,0.0002
2009-04,0.09412999999999999,0.0001
2009-05,0.05464,0.0
2009-06,0.002376,0.0001
2009-07,0.074382,0.0001
2009-08,0.034650999999999994,0.0001
2009-09,0.036433999999999994,0.0001
2009-10,-0.018259,0.0
2009-11,0.060257,0.0
2009-12,0.018883,0.0001
2010-01,-0.035751,0.0
2010-02,0.030424,0.0
2010-03,0.060913999999999996,0.0001
2010-04,0.015877000000000002,0.0001
2010-05,-0.080211,0.0001
2010-06,-0.053625000000000006,0.0001
2010-07,0.070351,0.0001
2010-08,-0.045534000000000005,0.0001
2010-09,0.090283,0.0001
2010-10,0.038625999999999994,0.0001
2010-11,-0.000151,0.0001
2010-12,0.066955,0.0001
2011-01,0.023249000000000002,0.0001
2011-02,0.032408,0.0001
2011-03,0.000525,0.0001
2011-04,0.029441,0.0
2011-05,-0.011313,0.0
2011-06,-0.016545,0.0
2011-07,-0.019828,0.0
2011-08,-0.054423000000000006,0.0001
2011-09,-0.070238,0.0
2011-10,0.109014,0.0
2011-11,-0.002727,0.0
2011-12,0.009427,0.0
2012-01,0.045205,0.0
2012-02,0.043341,0.0
2012-03,0.032866,0.0
2012-04,-0.006034,0.0
2012-05,-0.059890000000000006,0.0001
2012-06,0.041465,0.0
2012-07,0.014363,0.0
2012-08,0.022644,0.0001
2012-09,0.02502,0.0001
2012-10,-0.017936999999999998,0.0001
2012-11,0.005226,0.0001
2012-12,0.008408,0.0001
2013-01,0.052361,0.0
2013-02,0.013013,0.0
2013-03,0.037584,0.0
2013-04,0.019621,0.0
2013-05,0.02312,0.0
2013-06,-0.013601,0.0
2013-07,0.050672,0.0
2013-08,-0.029207,0.0
2013-09,0.03166,0.0
2013-10,0.046268,0.0
2013-11,0.030817,0.0
2013-12,0.02595,0.0
2014-01,-0.034666,0.0
2014-02,0.045757,0.0
2014-03,0.008056,0.0
2014-04,0.006555,0.0
2014-05,0.023309,0.0
2014-06,0.020635,0.0
2014-07,-0.013974,0.0
2014-08,0.039777,0.0
2014-09,-0.013928,0.0
2014-10,0.023972,0.0
2014-11,0.027631,0.0
2014-12,-0.002473,0.0
2015-01,-0.02943,0.0
2015-02,0.056976,0.0
2015-03,-0.014993,0.0
2015-04,0.009101,0.0
2015-05,0.012522,0.0
2015-06,-0.019343,0.0
2015-07,0.021297,0.0
2015-08,-0.060073,0.0
2015-09,-0.024547,0.0
2015-10,0.083449,0.0
2015-11,0.003373,0.0
2015-12,-0.015347,0.0001
2016-01,-0.0492,0.0001
2016-02,-0.0019420000000000001,0.0002
2016-03,0.06713999999999999,0.0002
2016-04,0.003647,0.0001
2016-05,0.018387,0.0001
2016-06,0.0024749999999999998,0.0002
2016-07,0.036371,0.0002
2016-08,0.001047,0.0002
2016-09,0.000246,0.0002
2016-10,-0.018144,0.0002
2016-11,0.035711999999999994,0.0001
2016-12,0.018903999999999997,0.0003
2017-01,0.018983999999999997,0.0004
2017-02,0.039059,0.0004
2017-03,0.0013650000000000001,0.0003
2017-04,0.010091,0.0005
2017-05,0.013952,0.0006
2017-06,0.005198,0.0006
2017-07,0.019996,0.0007000000000000001
2017-08,0.001338,0.0009
2017-09,0.019149999999999997,0.0009
2017-10,0.023232,0.0009
2017-11,0.030589,0.0008
2017-12,0.010249,0.0009
2018-01,0.056960000000000004,0.0011
2018-02,-0.038761,0.0011
2018-03,-0.026659,0.0012
2018-04,0.0023699999999999997,0.0014000000000000002
2018-05,0.022400000000000003,0.0014000000000000002
2018-06,0.0054399999999999995,0.0014000000000000002
2018-07,0.035544000000000006,0.0016
2018-08,0.031338000000000005,0.0016
2018-09,0.003638,0.0015
2018-10,-0.070309,0.0019
2018-11,0.017952,0.0018
2018-12,-0.092546,0.0019
2019-01,0.07930899999999999,0.0021
2019-02,0.029908,0.0018
2019-03,0.017631,0.0019
2019-04,0.038529,0.0021
2019-05,-0.065287,0.0021
2019-06,0.067761,0.0018
2019-07,0.012702999999999999,0.0019
2019-08,-0.017685,0.0016
2019-09,0.016991,0.0018
2019-10,0.020121,0.0015
2019-11,0.035006,0.0012
2019-12,0.028387000000000003,0.0014000000000000002
2020-01,-0.001192,0.0013
2020-02,-0.08307200000000001,0.0012
2020-03,-0.123197,0.0012
2020-04,0.12889,0.0
2020-05,0.047717999999999997,0.0001
2020-06,0.020248000000000002,0.0001
2020-07,0.05681,0.0001
2020-08,0.07196799999999999,0.0001
2020-09,-0.038251,0.0001
2020-10,-0.026508999999999998,0.0001
2020-11,0.109304,0.0001
2020-12,0.041471999999999995,0.0001
2021-01,-0.010052,0.0
2021-02,0.026104,0.0
2021-03,0.043314,0.0
2021-04,0.053904,0.0
2021-05,0.006208,0.0
2021-06,0.023682,0.0
2021-07,0.024305,0.0
2021-08,0.0306,0.0
2021-09,-0.046077,0.0
2021-10,0.07051,0.0
2021-11,-0.0073560000000000006,0.0001
2021-12,0.043485,0.0
2022-01,-0.052243,0.0
2022-02,-0.029293,0.0
2022-03,0.037825,0.0001
2022-04,-0.087676,0.0001
2022-05,7.400000000000001e-05,0.0003
2022-06,-0.08228300000000001,0.0006
2022-07,0.09296600000000001,0.0008
2022-08,-0.042194999999999996,0.0019
2022-09,-0.093395,0.0019
2022-10,0.077948,0.0023
2022-11,0.051265,0.0029
2022-12,-0.062084,0.0033
2023-01,0.06031,0.0034999999999999996
2023-02,-0.027665,0.0034000000000000002
2023-03,0.033879,0.0036
2023-04,0.011515000000000001,0.0034999999999999996
2023-05,0.001706,0.0036
2023-06,0.062952,0.004
2023-07,0.0272,0.0045000000000000005
2023-08,-0.019924,0.0045000000000000005
2023-09,-0.051865999999999995,0.0043
2023-10,-0.02574,0.004699999999999999
2023-11,0.086404,0.0044
2023-12,0.041206,0.0043
2024-01,0.011131000000000002,0.004699999999999999
2024-02,0.048831,0.0042
2024-03,0.027911,0.0043
2024-04,-0.0445,0.004699999999999999
2024-05,0.045031,0.0044
2024-06,0.033099,0.0040999999999999995
2024-07,0.007648,0.0045000000000000005
2024-08,0.019483,0.0048
2024-09,0.018821,0.004
2024-10,-0.01259,0.0039000000000000003
2024-11,0.05642,0.004
2024-12,-0.027145000000000002,0.0037
